dataset,split_type,split_num,model,roc_auc
bbbp,spectra_tanimoto,0.00_0,LogReg,0.8805194805194804
bbbp,spectra_tanimoto,0.00_0,RF,0.8934873949579831
bbbp,spectra_tanimoto,0.00_0,XGB,0.8722689075630252
bbbp,spectra_tanimoto,0.00_0,SVM,0.874025974025974
bbbp,spectra_tanimoto,0.00_1,LogReg,0.8973884579805024
bbbp,spectra_tanimoto,0.00_1,RF,0.9045221660855334
bbbp,spectra_tanimoto,0.00_1,XGB,0.8782110581370526
bbbp,spectra_tanimoto,0.00_1,SVM,0.903863943641927
bbbp,spectra_tanimoto,0.00_2,LogReg,0.8407508532423208
bbbp,spectra_tanimoto,0.00_2,RF,0.881109215017065
bbbp,spectra_tanimoto,0.00_2,XGB,0.8586006825938567
bbbp,spectra_tanimoto,0.00_2,SVM,0.8868600682593856
bbbp,spectra_tanimoto,0.05_0,LogReg,0.9031884057971015
bbbp,spectra_tanimoto,0.05_0,RF,0.9229710144927536
bbbp,spectra_tanimoto,0.05_0,XGB,0.9021739130434784
bbbp,spectra_tanimoto,0.05_0,SVM,0.9278260869565218
bbbp,spectra_tanimoto,0.05_1,LogReg,0.8779712548369264
bbbp,spectra_tanimoto,0.05_1,RF,0.8634604754007739
bbbp,spectra_tanimoto,0.05_1,XGB,0.8395522388059702
bbbp,spectra_tanimoto,0.05_1,SVM,0.8760364842454395
bbbp,spectra_tanimoto,0.05_2,LogReg,0.8509823509823511
bbbp,spectra_tanimoto,0.05_2,RF,0.8146853146853147
bbbp,spectra_tanimoto,0.05_2,XGB,0.8248418248418249
bbbp,spectra_tanimoto,0.05_2,SVM,0.8363303363303364
bbbp,spectra_tanimoto,0.10_0,LogReg,0.7977977977977978
bbbp,spectra_tanimoto,0.10_0,RF,0.8541041041041041
bbbp,spectra_tanimoto,0.10_0,XGB,0.8138138138138138
bbbp,spectra_tanimoto,0.10_0,SVM,0.8458458458458458
bbbp,spectra_tanimoto,0.10_1,LogReg,0.7857905982905984
bbbp,spectra_tanimoto,0.10_1,RF,0.8338675213675214
bbbp,spectra_tanimoto,0.10_1,XGB,0.813034188034188
bbbp,spectra_tanimoto,0.10_1,SVM,0.8360042735042735
bbbp,spectra_tanimoto,0.10_2,LogReg,0.8577777777777776
bbbp,spectra_tanimoto,0.10_2,RF,0.9019444444444444
bbbp,spectra_tanimoto,0.10_2,XGB,0.8972222222222223
bbbp,spectra_tanimoto,0.10_2,SVM,0.8891666666666665
bbbp,spectra_tanimoto,0.15_0,LogReg,0.7848837209302325
bbbp,spectra_tanimoto,0.15_0,RF,0.8796511627906978
bbbp,spectra_tanimoto,0.15_0,XGB,0.7848837209302325
bbbp,spectra_tanimoto,0.15_0,SVM,0.877906976744186
bbbp,spectra_tanimoto,0.15_1,LogReg,0.7899159663865547
bbbp,spectra_tanimoto,0.15_1,RF,0.7466986794717887
bbbp,spectra_tanimoto,0.15_1,XGB,0.765906362545018
bbbp,spectra_tanimoto,0.15_1,SVM,0.7959183673469388
bbbp,spectra_tanimoto,0.15_2,LogReg,0.7485714285714286
bbbp,spectra_tanimoto,0.15_2,RF,0.8364285714285714
bbbp,spectra_tanimoto,0.15_2,XGB,0.7185714285714285
bbbp,spectra_tanimoto,0.15_2,SVM,0.86
bbbp,spectra_tanimoto,0.20_0,LogReg,0.8383620689655172
bbbp,spectra_tanimoto,0.20_0,RF,0.8103448275862069
bbbp,spectra_tanimoto,0.20_0,XGB,0.8329741379310345
bbbp,spectra_tanimoto,0.20_0,SVM,0.8512931034482758
bbbp,spectra_tanimoto,0.20_1,LogReg,0.7299107142857143
bbbp,spectra_tanimoto,0.20_1,RF,0.7689732142857142
bbbp,spectra_tanimoto,0.20_1,XGB,0.8180803571428571
bbbp,spectra_tanimoto,0.20_1,SVM,0.7366071428571428
bbbp,spectra_tanimoto,0.20_2,LogReg,0.828125
bbbp,spectra_tanimoto,0.20_2,RF,0.9049479166666667
bbbp,spectra_tanimoto,0.20_2,XGB,0.7760416666666666
bbbp,spectra_tanimoto,0.20_2,SVM,0.8333333333333333
bbbp,spectra_tanimoto,0.25_0,LogReg,0.6527777777777778
bbbp,spectra_tanimoto,0.25_0,RF,0.8148148148148149
bbbp,spectra_tanimoto,0.25_0,XGB,0.650462962962963
bbbp,spectra_tanimoto,0.25_0,SVM,0.9120370370370371
bbbp,spectra_tanimoto,0.25_1,LogReg,0.7340909090909091
bbbp,spectra_tanimoto,0.25_1,RF,0.8272727272727274
bbbp,spectra_tanimoto,0.25_1,XGB,0.7454545454545454
bbbp,spectra_tanimoto,0.25_1,SVM,0.8
bbbp,spectra_tanimoto,0.25_2,LogReg,1.0
bbbp,spectra_tanimoto,0.25_2,RF,1.0
bbbp,spectra_tanimoto,0.25_2,XGB,1.0
bbbp,spectra_tanimoto,0.25_2,SVM,1.0
bbbp,spectra_tanimoto,0.30_0,LogReg,0.85
bbbp,spectra_tanimoto,0.30_0,RF,0.9
bbbp,spectra_tanimoto,0.30_0,XGB,0.73
bbbp,spectra_tanimoto,0.30_0,SVM,0.87
bbbp,spectra_tanimoto,0.30_1,LogReg,0.890909090909091
bbbp,spectra_tanimoto,0.30_1,RF,0.8727272727272728
bbbp,spectra_tanimoto,0.30_1,XGB,0.7999999999999999
bbbp,spectra_tanimoto,0.30_1,SVM,0.8818181818181818
bbbp,spectra_tanimoto,0.30_2,LogReg,0.8302469135802469
bbbp,spectra_tanimoto,0.30_2,RF,0.9012345679012346
bbbp,spectra_tanimoto,0.30_2,XGB,0.7901234567901234
bbbp,spectra_tanimoto,0.30_2,SVM,0.8518518518518519
bbbp,spectra_tanimoto,0.35_0,LogReg,0.4912280701754386
bbbp,spectra_tanimoto,0.35_0,RF,0.7631578947368421
bbbp,spectra_tanimoto,0.35_0,XGB,0.5701754385964912
bbbp,spectra_tanimoto,0.35_0,SVM,0.6842105263157895
bbbp,spectra_tanimoto,0.35_1,LogReg,0.625
bbbp,spectra_tanimoto,0.35_1,RF,0.71875
bbbp,spectra_tanimoto,0.35_1,XGB,0.45625
bbbp,spectra_tanimoto,0.35_1,SVM,0.6124999999999999
bbbp,spectra_tanimoto,0.35_2,LogReg,0.6971153846153846
bbbp,spectra_tanimoto,0.35_2,RF,0.7307692307692308
bbbp,spectra_tanimoto,0.35_2,XGB,0.6538461538461539
bbbp,spectra_tanimoto,0.35_2,SVM,0.7211538461538461
bbbp,spectra_tanimoto,0.40_0,LogReg,0.8076923076923077
bbbp,spectra_tanimoto,0.40_0,RF,0.9615384615384616
bbbp,spectra_tanimoto,0.40_0,XGB,0.8173076923076923
bbbp,spectra_tanimoto,0.40_0,SVM,0.9230769230769231
bbbp,spectra_tanimoto,0.40_1,LogReg,0.9375
bbbp,spectra_tanimoto,0.40_1,RF,0.96875
bbbp,spectra_tanimoto,0.40_1,XGB,0.8125
bbbp,spectra_tanimoto,0.40_1,SVM,0.8125
bbbp,spectra_tanimoto,0.40_2,LogReg,0.9285714285714286
bbbp,spectra_tanimoto,0.40_2,RF,0.9166666666666667
bbbp,spectra_tanimoto,0.40_2,XGB,0.9285714285714286
bbbp,spectra_tanimoto,0.40_2,SVM,0.880952380952381
bbbp,spectra_tanimoto,0.45_0,LogReg,0.8333333333333333
bbbp,spectra_tanimoto,0.45_0,RF,1.0
bbbp,spectra_tanimoto,0.45_0,XGB,0.75
bbbp,spectra_tanimoto,0.45_0,SVM,1.0
bbbp,spectra_tanimoto,0.45_1,LogReg,0.65
bbbp,spectra_tanimoto,0.45_1,RF,0.73
bbbp,spectra_tanimoto,0.45_1,XGB,0.63
bbbp,spectra_tanimoto,0.45_1,SVM,0.78
bbbp,spectra_tanimoto,0.45_2,LogReg,0.22000000000000003
bbbp,spectra_tanimoto,0.45_2,RF,0.43999999999999995
bbbp,spectra_tanimoto,0.45_2,XGB,0.35
bbbp,spectra_tanimoto,0.45_2,SVM,0.58
bbbp,spectra_tanimoto,0.50_0,LogReg,0.609375
bbbp,spectra_tanimoto,0.50_0,RF,0.53125
bbbp,spectra_tanimoto,0.50_0,XGB,0.5
bbbp,spectra_tanimoto,0.50_0,SVM,0.59375
bbbp,spectra_tanimoto,0.50_1,LogReg,0.4
bbbp,spectra_tanimoto,0.50_1,RF,0.9
bbbp,spectra_tanimoto,0.50_1,XGB,0.9
bbbp,spectra_tanimoto,0.50_1,SVM,0.7
bbbp,spectra_tanimoto,0.50_2,LogReg,0.6666666666666666
bbbp,spectra_tanimoto,0.50_2,RF,0.8333333333333334
bbbp,spectra_tanimoto,0.50_2,XGB,0.8
bbbp,spectra_tanimoto,0.50_2,SVM,0.7666666666666666
bbbp,spectra_tanimoto,0.55_0,LogReg,0.875
bbbp,spectra_tanimoto,0.55_0,RF,0.8125
bbbp,spectra_tanimoto,0.55_0,XGB,0.8125
bbbp,spectra_tanimoto,0.55_0,SVM,0.875
bbbp,spectra_tanimoto,0.55_1,LogReg,
bbbp,spectra_tanimoto,0.55_1,RF,
bbbp,spectra_tanimoto,0.55_1,XGB,
bbbp,spectra_tanimoto,0.55_1,SVM,
bbbp,spectra_tanimoto,0.55_2,LogReg,1.0
bbbp,spectra_tanimoto,0.55_2,RF,1.0
bbbp,spectra_tanimoto,0.55_2,XGB,1.0
bbbp,spectra_tanimoto,0.55_2,SVM,1.0
bbbp,spectra_tanimoto,0.60_0,LogReg,0.625
bbbp,spectra_tanimoto,0.60_0,RF,1.0
bbbp,spectra_tanimoto,0.60_0,XGB,0.625
bbbp,spectra_tanimoto,0.60_0,SVM,1.0
bbbp,spectra_tanimoto,0.60_1,LogReg,0.8809523809523809
bbbp,spectra_tanimoto,0.60_1,RF,0.8571428571428571
bbbp,spectra_tanimoto,0.60_1,XGB,0.4285714285714286
bbbp,spectra_tanimoto,0.60_1,SVM,0.9523809523809524
bbbp,spectra_tanimoto,0.60_2,LogReg,0.25
bbbp,spectra_tanimoto,0.60_2,RF,0.5416666666666666
bbbp,spectra_tanimoto,0.60_2,XGB,0.3333333333333333
bbbp,spectra_tanimoto,0.60_2,SVM,0.6666666666666666
bbbp,spectra_tanimoto,0.65_0,LogReg,0.25
bbbp,spectra_tanimoto,0.65_0,RF,0.25
bbbp,spectra_tanimoto,0.65_0,XGB,0.375
bbbp,spectra_tanimoto,0.65_0,SVM,0.375
bbbp,spectra_tanimoto,0.65_1,LogReg,
bbbp,spectra_tanimoto,0.65_1,RF,
bbbp,spectra_tanimoto,0.65_1,XGB,
bbbp,spectra_tanimoto,0.65_1,SVM,
bbbp,spectra_tanimoto,0.65_2,LogReg,0.9166666666666667
