dataset,split_type,split_num,model,root_mean_squared_error
delaney,spectra_tanimoto,0.00_0,KRR,1.741212989368801
delaney,spectra_tanimoto,0.00_0,LinReg,2.095535734512225
delaney,spectra_tanimoto,0.00_1,KRR,1.7034301754598278
delaney,spectra_tanimoto,0.00_1,LinReg,2.078628954924483
delaney,spectra_tanimoto,0.00_2,KRR,1.7793507584082209
delaney,spectra_tanimoto,0.00_2,LinReg,2.105556919335568
delaney,spectra_tanimoto,0.05_0,KRR,1.833401750117258
delaney,spectra_tanimoto,0.05_0,LinReg,2.116234469600266
delaney,spectra_tanimoto,0.05_1,KRR,1.8640420510949507
delaney,spectra_tanimoto,0.05_1,LinReg,2.028976632774256
delaney,spectra_tanimoto,0.05_2,KRR,1.6420911132221239
delaney,spectra_tanimoto,0.05_2,LinReg,1.9203901592796677
delaney,spectra_tanimoto,0.10_0,KRR,1.8494754999108365
delaney,spectra_tanimoto,0.10_0,LinReg,1.9683323189491033
delaney,spectra_tanimoto,0.10_1,KRR,1.9663092247201062
delaney,spectra_tanimoto,0.10_1,LinReg,2.1423734386522795
delaney,spectra_tanimoto,0.10_2,KRR,1.8060852829584957
delaney,spectra_tanimoto,0.10_2,LinReg,1.9537623015893693
delaney,spectra_tanimoto,0.15_0,KRR,1.9800304522850327
delaney,spectra_tanimoto,0.15_0,LinReg,2.07398879269446
delaney,spectra_tanimoto,0.15_1,KRR,1.820582145779614
delaney,spectra_tanimoto,0.15_1,LinReg,1.9672772624315913
delaney,spectra_tanimoto,0.15_2,KRR,2.395421955875142
delaney,spectra_tanimoto,0.15_2,LinReg,2.5042475598603513
delaney,spectra_tanimoto,0.20_0,KRR,1.830180419674847
delaney,spectra_tanimoto,0.20_0,LinReg,1.8755723716083468
delaney,spectra_tanimoto,0.20_1,KRR,1.9762111299549097
delaney,spectra_tanimoto,0.20_1,LinReg,2.065317533375105
delaney,spectra_tanimoto,0.20_2,KRR,1.8292722364432916
delaney,spectra_tanimoto,0.20_2,LinReg,1.8770812452984682
delaney,spectra_tanimoto,0.25_0,KRR,2.5146816452255076
delaney,spectra_tanimoto,0.25_0,LinReg,2.573071451608278
delaney,spectra_tanimoto,0.25_1,KRR,2.567527171009451
delaney,spectra_tanimoto,0.25_1,LinReg,2.654955093731362
delaney,spectra_tanimoto,0.25_2,KRR,1.8313163384234363
delaney,spectra_tanimoto,0.25_2,LinReg,1.8527477548470868
delaney,spectra_tanimoto,0.30_0,KRR,1.9733687875121368
delaney,spectra_tanimoto,0.30_0,LinReg,2.0586123045604063
delaney,spectra_tanimoto,0.30_1,KRR,2.546378174964266
delaney,spectra_tanimoto,0.30_1,LinReg,2.5779175032528294
delaney,spectra_tanimoto,0.30_2,KRR,2.582755724078891
delaney,spectra_tanimoto,0.30_2,LinReg,2.615054254714812
delaney,spectra_tanimoto,0.35_0,KRR,1.1780630692878584
delaney,spectra_tanimoto,0.35_0,LinReg,1.221133706829691
delaney,spectra_tanimoto,0.35_1,KRR,2.1027237651031934
delaney,spectra_tanimoto,0.35_1,LinReg,2.135874040824193
delaney,spectra_tanimoto,0.35_2,KRR,1.910556125214283
delaney,spectra_tanimoto,0.35_2,LinReg,1.9309114976577137
delaney,spectra_tanimoto,0.40_0,KRR,2.7189131528713584
delaney,spectra_tanimoto,0.40_0,LinReg,2.7236806215755585
delaney,spectra_tanimoto,0.40_1,KRR,1.6563861172047278
delaney,spectra_tanimoto,0.40_1,LinReg,1.7490217379798019
delaney,spectra_tanimoto,0.40_2,KRR,3.3511456599734166
delaney,spectra_tanimoto,0.40_2,LinReg,3.403208987332152
delaney,spectra_tanimoto,0.45_0,KRR,1.8611148747094615
delaney,spectra_tanimoto,0.45_0,LinReg,1.8567157300335975
delaney,spectra_tanimoto,0.45_1,KRR,1.919334477579113
delaney,spectra_tanimoto,0.45_1,LinReg,1.9121416651982213
delaney,spectra_tanimoto,0.45_2,KRR,1.5201044505938548
delaney,spectra_tanimoto,0.45_2,LinReg,1.5581336379142836
delaney,spectra_tanimoto,0.50_0,KRR,1.8470838460212065
delaney,spectra_tanimoto,0.50_0,LinReg,1.8986173891545393
delaney,spectra_tanimoto,0.50_1,KRR,1.49215564999737
delaney,spectra_tanimoto,0.50_1,LinReg,1.4497449596962502
delaney,spectra_tanimoto,0.50_2,KRR,3.080511277669441
delaney,spectra_tanimoto,0.50_2,LinReg,3.067942686817992
delaney,spectra_tanimoto,0.55_0,KRR,1.4276243939928315
delaney,spectra_tanimoto,0.55_0,LinReg,1.5071213864515156
delaney,spectra_tanimoto,0.55_1,KRR,1.7627309916309621
delaney,spectra_tanimoto,0.55_1,LinReg,1.68935456704198
delaney,spectra_tanimoto,0.55_2,KRR,2.4354620448433733
delaney,spectra_tanimoto,0.55_2,LinReg,2.449851090946118
delaney,spectra_tanimoto,0.60_0,KRR,1.9268945823945005
delaney,spectra_tanimoto,0.60_0,LinReg,2.00819068491755
delaney,spectra_tanimoto,0.60_1,KRR,1.4853850619319584
delaney,spectra_tanimoto,0.60_1,LinReg,1.453177939364891
delaney,spectra_tanimoto,0.60_2,KRR,1.582499261100619
delaney,spectra_tanimoto,0.60_2,LinReg,1.5328646475725698
delaney,random,0,KRR,1.785062563456755
delaney,random,0,LinReg,2.12179707815465
delaney,random,1,KRR,1.7904332034725114
delaney,random,1,LinReg,2.0740960745404857
delaney,random,2,KRR,1.7238171359911325
delaney,random,2,LinReg,2.0468090654746582
delaney,random,3,KRR,1.7000830099529192
delaney,random,3,LinReg,2.0689463676997333
delaney,random,4,KRR,1.8630399712030241
delaney,random,4,LinReg,2.201326311243194
delaney,scaffold,0,KRR,1.8809616531713067
delaney,scaffold,0,LinReg,2.160410274243701
delaney,scaffold,1,KRR,1.7776449142243531
delaney,scaffold,1,LinReg,2.0531733901408806
delaney,scaffold,2,KRR,1.8087383193351774
delaney,scaffold,2,LinReg,2.103145634443453
delaney,scaffold,3,KRR,2.091001275594442
delaney,scaffold,3,LinReg,2.372591968995623
delaney,scaffold,4,KRR,2.554594111928553
delaney,scaffold,4,LinReg,2.8958800351558365
delaney,umap,0,KRR,2.0799146276681633
delaney,umap,0,LinReg,2.2209320534182555
delaney,umap,1,KRR,2.057366543963762
delaney,umap,1,LinReg,2.4079229719127078
delaney,umap,2,KRR,2.3917156278319327
delaney,umap,2,LinReg,2.61037269170104
delaney,umap,3,KRR,1.652405801431575
delaney,umap,3,LinReg,2.011161155494222
delaney,umap,4,KRR,2.104933601603629
delaney,umap,4,LinReg,2.2748243097994734
