dataset,split_type,split_num,model,root_mean_squared_error
lipo,spectra_tanimoto,0.00_0,KRR,1.064718113223418
lipo,spectra_tanimoto,0.00_0,LinReg,1.249518310772036
lipo,spectra_tanimoto,0.00_1,KRR,1.0023001816638437
lipo,spectra_tanimoto,0.00_1,LinReg,1.1662304257040481
lipo,spectra_tanimoto,0.00_2,KRR,0.9948399488577796
lipo,spectra_tanimoto,0.00_2,LinReg,1.1908076148187012
lipo,spectra_tanimoto,0.05_0,KRR,1.2068156144994768
lipo,spectra_tanimoto,0.05_0,LinReg,1.29423017067826
lipo,spectra_tanimoto,0.05_1,KRR,1.1353816016845724
lipo,spectra_tanimoto,0.05_1,LinReg,1.2448366936097675
lipo,spectra_tanimoto,0.05_2,KRR,1.0146005917229202
lipo,spectra_tanimoto,0.05_2,LinReg,1.118672344639377
lipo,spectra_tanimoto,0.10_0,KRR,1.0602010810161617
lipo,spectra_tanimoto,0.10_0,LinReg,1.1136347820561514
lipo,spectra_tanimoto,0.10_1,KRR,1.1706207436716443
lipo,spectra_tanimoto,0.10_1,LinReg,1.245063232370659
lipo,spectra_tanimoto,0.10_2,KRR,1.104258912493383
lipo,spectra_tanimoto,0.10_2,LinReg,1.1587622404551225
lipo,spectra_tanimoto,0.15_0,KRR,1.0999412909624893
lipo,spectra_tanimoto,0.15_0,LinReg,1.1374703221443299
lipo,spectra_tanimoto,0.15_1,KRR,1.2965372266437638
lipo,spectra_tanimoto,0.15_1,LinReg,1.3357408465208398
lipo,spectra_tanimoto,0.15_2,KRR,1.2502340539066839
lipo,spectra_tanimoto,0.15_2,LinReg,1.2906465341166957
lipo,spectra_tanimoto,0.20_0,KRR,1.1937650502237676
lipo,spectra_tanimoto,0.20_0,LinReg,1.2192532532765468
lipo,spectra_tanimoto,0.20_1,KRR,1.5806736965034003
lipo,spectra_tanimoto,0.20_1,LinReg,1.6276990293557776
lipo,spectra_tanimoto,0.20_2,KRR,1.257696901691533
lipo,spectra_tanimoto,0.20_2,LinReg,1.2981363583973924
lipo,spectra_tanimoto,0.25_0,KRR,1.2780165986133407
lipo,spectra_tanimoto,0.25_0,LinReg,1.301527314239027
lipo,spectra_tanimoto,0.25_1,KRR,1.3246897506069004
lipo,spectra_tanimoto,0.25_1,LinReg,1.3549762329416464
lipo,spectra_tanimoto,0.25_2,KRR,1.2590271248958629
lipo,spectra_tanimoto,0.25_2,LinReg,1.2829667678072472
lipo,spectra_tanimoto,0.30_0,KRR,1.5251110771820995
lipo,spectra_tanimoto,0.30_0,LinReg,1.5381169596329125
lipo,spectra_tanimoto,0.30_1,KRR,1.1297967778717937
lipo,spectra_tanimoto,0.30_1,LinReg,1.1900073325178635
lipo,spectra_tanimoto,0.30_2,KRR,1.4021093075317115
lipo,spectra_tanimoto,0.30_2,LinReg,1.4390589250447114
lipo,spectra_tanimoto,0.35_0,KRR,1.3394425473702336
lipo,spectra_tanimoto,0.35_0,LinReg,1.3425520831464586
lipo,spectra_tanimoto,0.35_1,KRR,1.4245135598034149
lipo,spectra_tanimoto,0.35_1,LinReg,1.4261168033306297
lipo,spectra_tanimoto,0.35_2,KRR,1.5919037399856875
lipo,spectra_tanimoto,0.35_2,LinReg,1.6085446736230657
lipo,spectra_tanimoto,0.40_0,KRR,1.233320856153661
lipo,spectra_tanimoto,0.40_0,LinReg,1.253409640403533
lipo,spectra_tanimoto,0.40_1,KRR,1.2839139389710545
lipo,spectra_tanimoto,0.40_1,LinReg,1.2932558048574092
lipo,spectra_tanimoto,0.40_2,KRR,1.4700322489785798
lipo,spectra_tanimoto,0.40_2,LinReg,1.487384139590616
lipo,spectra_tanimoto,0.45_0,KRR,1.3751274682032255
lipo,spectra_tanimoto,0.45_0,LinReg,1.403604015907291
lipo,spectra_tanimoto,0.45_1,KRR,0.9045772114820647
lipo,spectra_tanimoto,0.45_1,LinReg,0.9020811123144649
lipo,spectra_tanimoto,0.45_2,KRR,1.2207210191022235
lipo,spectra_tanimoto,0.45_2,LinReg,1.2252585578649873
